 gas              dl    |   F_min   |   sigma
CO2_1400   :   0.015363 |   0.813793 |   0.001914 
CO2_1600   :  -0.045734 |   0.989655 |   0.001484 
N2O_2870   :   0.000370 |   0.989655 |   0.004611 
H20_720    :  -0.007786 |   0.937931 |   0.001060 
H20_820    :  -0.022725 |   0.948276 |   0.001317 
H20_940    :  -0.029242 |   0.937931 |   0.000872 
CH4_1660   :  -0.053992 |   1.000000 |   0.001540 
CH4_2200   :  -0.066245 |   0.989655 |   0.002041 
CO_2340    :   0.074348 |   0.979310 |   0.002171 
O2_630     :   0.016550 |   1.000000 |   0.000584 
O2_690     :   0.001754 |   0.917241 |   0.000865 
O2_760     :   0.014155 |   0.886207 |   0.000705 

